cycle,range_bin,doppler_bin,output_hex
1075325000,8,22,012dffd0
1075335000,8,23,fe08ff21
1075345000,8,24,0431024f
1075355000,8,25,fd12ffe2
1075365000,8,26,0020fec4
1075375000,8,27,013fff92
1075385000,8,28,fefc0122
1075395000,8,29,0056ff99
1075405000,8,30,00bd002f
1075415000,8,31,fe20fef3
1079695000,9,0,00e8ff9a
1079705000,9,1,0013fffe
1079715000,9,2,008500c3
1079725000,9,3,ff45fed8
1079735000,9,4,ff3affa1
1079745000,9,5,02250242
1079755000,9,6,fdcaffaa
1079765000,9,7,01d6ff7d
1079775000,9,8,fdedff7c
1079785000,9,9,03500100
1079795000,9,10,fd79fde5
1079805000,9,11,feef01e3
1079815000,9,12,02f0ff55
1079825000,9,13,fdbb0035
1079835000,9,14,00f4ff0d
1079845000,9,15,007101d8
1079855000,9,16,ff2effb2
1079865000,9,17,01d5fed8
1079875000,9,18,fd0f0135
1079885000,9,19,012bff1a
1079895000,9,20,00e00061
1079905000,9,21,fe9dffb8
1079915000,9,22,016cfffc
1079925000,9,23,fef6ff73
1079935000,9,24,00f101f8
1079945000,9,25,ffe8fec2
1079955000,9,26,ffab00e7
1079965000,9,27,ffc1fe2b
1079975000,9,28,008a0139
1079985000,9,29,fff3ff41
1079995000,9,30,01060089
1080005000,9,31,fda3ffe0
1084285000,10,0,00fafeba
1084295000,10,1,00b0010f
1084305000,10,2,febbff3d
1084315000,10,3,001fff95
1084325000,10,4,ff49004f
1084335000,10,5,022102b7
1084345000,10,6,fe4afd98
1084355000,10,7,016b007a
1084365000,10,8,fe3b0076
1084375000,10,9,01c9ff9f
1084385000,10,10,ff05fea3
1084395000,10,11,feec0293
1084405000,10,12,031cfde5
1084415000,10,13,fd02ffcf
1084425000,10,14,029c00ae
1084435000,10,15,ff060083
1084445000,10,16,fec6ff88
1084455000,10,17,014eff79
1084465000,10,18,fd8301f7
1084475000,10,19,01d9fdb3
1084485000,10,20,00d50199
1084495000,10,21,ff1ffec3
1084505000,10,22,00cc0152
1084515000,10,23,fea3fe48
1084525000,10,24,00f901dc
1084535000,10,25,ffd9fedd
1084545000,10,26,ff910059
1084555000,10,27,ffb4ff11
1084565000,10,28,01b2016f
1084575000,10,29,feae0013
1084585000,10,30,009aff48
1084595000,10,31,fec4008f
1088875000,11,0,0303fff4
1088885000,11,1,ff2901fa
1088895000,11,2,ff46fe76
1088905000,11,3,010a0003
1088915000,11,4,fd480092
1088925000,11,5,049a0181
1088935000,11,6,fd86fe4b
1088945000,11,7,ffde0041
1088955000,11,8,005f002f
1088965000,11,9,ff7700d5
1088975000,11,10,006ffd93
1088985000,11,11,ff3d02d3
1088995000,11,12,01defd61
1089005000,11,13,fed20186
1089015000,11,14,0081ffac
1089025000,11,15,ffbdff79
1089035000,11,16,ffcb0174
1089045000,11,17,fed50008
1089055000,11,18,011afe98
1089065000,11,19,0156001f
1089075000,11,20,ff080170
1089085000,11,21,ff7efe05
1089095000,11,22,005401d1
1089105000,11,23,ff16fdff
1089115000,11,24,011f025d
1089125000,11,25,008ffddd
1089135000,11,26,fecd01b3
1089145000,11,27,0113ff37
1089155000,11,28,ffceff89
1089165000,11,29,ff3a0130
1089175000,11,30,0211ffc4
1089185000,11,31,fc27fe6b
1093465000,12,0,00b000e8
1093475000,12,1,ff6cffc3
1093485000,12,2,002f0006
1093495000,12,3,006700a9
1093505000,12,4,fdae008e
1093515000,12,5,0447ff38
1093525000,12,6,fdb10044
1093535000,12,7,00510064
1093545000,12,8,ff1eff07
1093555000,12,9,00360103
1093565000,12,10,0094fd1c
1093575000,12,11,0006052e
1093585000,12,12,fff8fafd
1093595000,12,13,011a0143
1093605000,12,14,fe500282
1093615000,12,15,0108fd98
1093625000,12,16,ffba0132
1093635000,12,17,ff92ffaf
1093645000,12,18,ff71ff86
1093655000,12,19,0095ffcd
1093665000,12,20,0182fffe
1093675000,12,21,fda1fff2
1093685000,12,22,0179017c
1093695000,12,23,fe7ffeda
1093705000,12,24,024c000b
1093715000,12,25,fee4ffd3
1093725000,12,26,ffd40084
1093735000,12,27,ff760044
1093745000,12,28,0154ff63
1093755000,12,29,ff36fff3
1093765000,12,30,005e00ca
1093775000,12,31,ff30fe4a
1098055000,13,0,fe260064
1098065000,13,1,01d7ffec
1098075000,13,2,fdecfe7e
1098085000,13,3,0232019d
1098095000,13,4,fddd01b2
1098105000,13,5,0395fc8b
1098115000,13,6,fdf90234
1098125000,13,7,ffccfe4c
1098135000,13,8,004b02aa
1098145000,13,9,fffdfd6d
1098155000,13,10,ffd60058
1098165000,13,11,fec001ff
1098175000,13,12,016dfda9
1098185000,13,13,00970098
1098195000,13,14,ff1500f3
1098205000,13,15,0035fdc7
1098215000,13,16,00900178
1098225000,13,17,fffb0062
1098235000,13,18,fe70ff6e
1098245000,13,19,00d8007b
1098255000,13,20,ff47ff32
1098265000,13,21,ffd300bf
1098275000,13,22,01d9ff48
1098285000,13,23,fe18018e
1098295000,13,24,01e3ff7e
1098305000,13,25,fe19ff69
1098315000,13,26,022aff40
1098325000,13,27,feb20189
1098335000,13,28,003bff87
1098345000,13,29,ff69fefa
1098355000,13,30,015d01d5
1098365000,13,31,ffcbfedf
1102645000,14,0,fe0b0048
1102655000,14,1,02a0ff70
1102665000,14,2,ffa800fa
1102675000,14,3,fe5bff52
1102685000,14,4,008400d8
1102695000,14,5,01d0ffb3
1102705000,14,6,ff15fefe
1102715000,14,7,fdda01c2
1102725000,14,8,015ffeb7
1102735000,14,9,018600fa
1102745000,14,10,ff0afe54
1102755000,14,11,ffcb026a
1102765000,14,12,01bffe7a
1102775000,14,13,fd00ff4f
1102785000,14,14,0241ff78
1102795000,14,15,003b013a
1102805000,14,16,fd65ffc2
1102815000,14,17,02ea00d6
1102825000,14,18,fd24ff26
1102835000,14,19,01830030
1102845000,14,20,ff680034
1102855000,14,21,ffdaff6d
1102865000,14,22,016500e4
1102875000,14,23,ff62fde4
1102885000,14,24,00950247
1102895000,14,25,fe58fe54
1102905000,14,26,015a0248
1102915000,14,27,fea3fe9c
1102925000,14,28,012900e2
1102935000,14,29,ff4efe85
1102945000,14,30,00cd00ca
1102955000,14,31,ffedffc0
1107235000,15,0,ff7b0038
1107245000,15,1,0108ff9e
1107255000,15,2,0002ffb4
1107265000,15,3,ffd6fe66
1107275000,15,4,ff370249
1107285000,15,5,01de007d
1107295000,15,6,fe35feb3
1107305000,15,7,005d00b0
1107315000,15,8,004cff76
1107325000,15,9,0098019a
1107335000,15,10,fdd1fd00
1107345000,15,11,00e60299
1107355000,15,12,01ddfdf7
1107365000,15,13,fe3d0196
1107375000,15,14,00a8ff72
1107385000,15,15,0095ff77
1107395000,15,16,fe7d00ec
1107405000,15,17,01d2feca
1107415000,15,18,fdb60246
1107425000,15,19,0028fe22
1107435000,15,20,017100f9
1107445000,15,21,fee4ff75
1107455000,15,22,00bdffc9
1107465000,15,23,00090044
1107475000,15,24,00b00202
1107485000,15,25,ff56fd0e
1107495000,15,26,0087017e
1107505000,15,27,ff34feb7
1107515000,15,28,0127013b
1107525000,15,29,fd71ff28
1107535000,15,30,036600aa
1107545000,15,31,fe05ffdd
1111825000,16,0,000bfffa
1111835000,16,1,011700d4
1111845000,16,2,0003ff74
1111855000,16,3,fe8200a0
1111865000,16,4,fed9ff9a
1111875000,16,5,04780186
1111885000,16,6,fcd2fea6
1111895000,16,7,ffccffa9
1111905000,16,8,010a0002
1111915000,16,9,ff3f00b5
1111925000,16,10,00ddfeae
1111935000,16,11,ff76040b
1111945000,16,12,00c6fb78
1111955000,16,13,ff4401b9
1111965000,16,14,ff8effbb
1111975000,16,15,0235fed0
1111985000,16,16,fd870268
1111995000,16,17,01f1ff02
1112005000,16,18,fe7fff2e
1112015000,16,19,ff22019a
1112025000,16,20,019bfeb6
1112035000,16,21,ff9e0018
1112045000,16,22,00260140
1112055000,16,23,fef2fdd7
1112065000,16,24,03ac02ec
1112075000,16,25,fc99fd89
1112085000,16,26,015100dc
1112095000,16,27,ff9eff63
1112105000,16,28,ff8e00b8
1112115000,16,29,ffc6ff85
1112125000,16,30,016a0133
1112135000,16,31,fea5fe48
1116415000,17,0,015dff4e
1116425000,17,1,0051ffdc
1116435000,17,2,fe38ffe5
1116445000,17,3,0308012a
1116455000,17,4,fc40fec7
1116465000,17,5,03c10115
1116475000,17,6,fce1012b
1116485000,17,7,0171fdbb
1116495000,17,8,0040ffc0
1116505000,17,9,ff570255
1116515000,17,10,fff6fe0e
1116525000,17,11,ffdf021c
1116535000,17,12,0122fd6e
1116545000,17,13,ff58010d
1116555000,17,14,ffb40042
1116565000,17,15,00a2feb8
1116575000,17,16,0019013c
1116585000,17,17,ff31ff30
1116595000,17,18,ff9e01f1
1116605000,17,19,00e80022
1116615000,17,20,ff58fda9
1116625000,17,21,ffdf00d1
1116635000,17,22,01a10103
1116645000,17,23,fde1fdbd
1116655000,17,24,02ea029a
1116665000,17,25,fd47fe1f
1116675000,17,26,021c0128
1116685000,17,27,fe8dff20
1116695000,17,28,0036013e
1116705000,17,29,ffe0fec5
1116715000,17,30,01b20094
1116725000,17,31,fd580000
1121005000,18,0,02b2006e
1121015000,18,1,feaeffb3
1121025000,18,2,01af0008
1121035000,18,3,fdd0002f
1121045000,18,4,ffaa0096
1121055000,18,5,0378003f
1121065000,18,6,fd0aff4f
1121075000,18,7,0219ffd1
1121085000,18,8,fdc4ffda
1121095000,18,9,0173019b
1121105000,18,10,fee8fdb1
1121115000,18,11,0150020e
1121125000,18,12,fe81feeb
1121135000,18,13,00e6ff14
1121145000,18,14,01680149
1121155000,18,15,fe8effef
1121165000,18,16,00060008
1121175000,18,17,011c005d
1121185000,18,18,fd63fed0
1121195000,18,19,019a0119
1121205000,18,20,ff96fe74
1121215000,18,21,00a0009b
1121225000,18,22,ffe40213
1121235000,18,23,fea1fd9f
1121245000,18,24,03440128
1121255000,18,25,fd63ff9d
1121265000,18,26,012a0043
1121275000,18,27,ff1efeea
1121285000,18,28,002700cb
1121295000,18,29,0042013a
1121305000,18,30,01befde1
1121315000,18,31,fc200061
1125595000,19,0,ff8affea
1125605000,19,1,003afff9
1125615000,19,2,0055ff8a
1125625000,19,3,007701d0
1125635000,19,4,fdf1fdf9
1125645000,19,5,030e0259
1125655000,19,6,fe54fe88
1125665000,19,7,00ccfff1
1125675000,19,8,fe840180
1125685000,19,9,0059fe0a
1125695000,19,10,00b50131
1125705000,19,11,00fc002e
1125715000,19,12,fd95fe62
1125725000,19,13,0194002e
1125735000,19,14,00a2ff6d
1125745000,19,15,ff5502d3
1125755000,19,16,ff5cfdf6
1125765000,19,17,ffcc01e5
1125775000,19,18,0149fec0
1125785000,19,19,feabffba
1125795000,19,20,0011002f
1125805000,19,21,015eff05
1125815000,19,22,ff8c018e
1125825000,19,23,fe08fdd5
1125835000,19,24,03260334
1125845000,19,25,fda9fe08
1125855000,19,26,01a50029
1125865000,19,27,fe320050
1125875000,19,28,01a9008a
1125885000,19,29,0028ff9c
1125895000,19,30,ff06ff51
1125905000,19,31,00070027
1130185000,20,0,ff4f01e8
1130195000,20,1,0127ffb8
1130205000,20,2,ff5bff10
1130215000,20,3,00720195
1130225000,20,4,fdffffc9
1130235000,20,5,048f0063
1130245000,20,6,fc89fed1
1130255000,20,7,00f400b1
1130265000,20,8,ff78ffc7
1130275000,20,9,0029002b
1130285000,20,10,fffcfe9d
1130295000,20,11,ff76027e
1130305000,20,12,0181fe7d
1130315000,20,13,fea3ff34
1130325000,20,14,00950168
1130335000,20,15,0139ffa4
1130345000,20,16,fe09000a
1130355000,20,17,01f9015c
1130365000,20,18,fdb5fdee
1130375000,20,19,00680095
1130385000,20,20,00f7ffc9
1130395000,20,21,fef10013
1130405000,20,22,011d00f7
1130415000,20,23,fe06fdd5
1130425000,20,24,046c02fb
1130435000,20,25,fd13ff05
1130445000,20,26,ffd8ff65
1130455000,20,27,ffecffd0
1130465000,20,28,0105003d
1130475000,20,29,ff69007a
1130485000,20,30,00e9ffe0
1130495000,20,31,fee9fde6
1134775000,21,0,ff330075
1134785000,21,1,00cdff0c
1134795000,21,2,feb3ffff
1134805000,21,3,0255002f
1134815000,21,4,fcdd023b
1134825000,21,5,0268fdba
1134835000,21,6,ffa200d2
1134845000,21,7,ffe6ffc9
1134855000,21,8,ffafff41
1134865000,21,9,fff30117
1134875000,21,10,00f4fe77
1134885000,21,11,fe750253
1134895000,21,12,0121fd98
1134905000,21,13,ff3d012c
1134915000,21,14,00ddff34
1134925000,21,15,fec60189
1134935000,21,16,0209fe89
1134945000,21,17,ff790034
1134955000,21,18,fdfd0191
1134965000,21,19,01b1fee9
1134975000,21,20,ff13fee5
1134985000,21,21,ff96008a
1134995000,21,22,00e4ffb8
1135005000,21,23,ff4c023d
1135015000,21,24,0121fe45
1135025000,21,25,ffc700b1
1135035000,21,26,00a40015
1135045000,21,27,ff11fea5
1135055000,21,28,fffb0294
1135065000,21,29,0075fd00
1135075000,21,30,fecd0136
1135085000,21,31,013c0009
1139365000,22,0,ff72fdd0
1139375000,22,1,0179ffae
1139385000,22,2,fe4501e3
1139395000,22,3,0118ff77
1139405000,22,4,ff0aff75
1139415000,22,5,00fb0123
1139425000,22,6,00e6ff8c
1139435000,22,7,ffa0ffe5
1139445000,22,8,fe2afefe
1139455000,22,9,01a3011b
1139465000,22,10,ff5cffaf
1139475000,22,11,00b30088
1139485000,22,12,fe07fefe
1139495000,22,13,0224014a
1139505000,22,14,fe4ffd1b
1139515000,22,15,01a6037a
1139525000,22,16,0028fe32
